msgPrefix	npes	pts_per_core	eleOrder	sort(min)	sort(mean)	sort(max)	constr(min)	constr(mean)	constr(max)	bal(min)	bal(mean)	bal(max)	adaptive_oda(min)	adaptive_oda(mean)	adaptive_oda(max)	ghostexchange(min)	ghostexchange(mean)	ghostexchange(max)	topdown(min)	topdown(mean)	topdown(max)	bottomup(min)	bottomup(mean)	bottomup(max)	treeinterior(min)	treeinterior(mean)	treeinterior(max)	elemental(min)	elemental(mean)	elemental(max)	
weak	1	1024	1	0.000344062	0.000344062	0.000344062	0.000778794	0.000778794	0.000778794	0.02324	0.02324	0.02324	0.117867	0.117867	0.117867	0	0	0	4.60335e-07	4.60335e-07	4.60335e-07	7.59512e-08	7.59512e-08	7.59512e-08	2.91751e-05	2.91751e-05	2.91751e-05	1.61442e-06	1.61442e-06	1.61442e-06	
TACC:  Shutdown complete. Exiting. 

TACC:  Starting up job 3268034 
TACC:  Starting parallel tasks... 
msgPrefix	npes	pts_per_core	eleOrder	sort(min)	sort(mean)	sort(max)	constr(min)	constr(mean)	constr(max)	bal(min)	bal(mean)	bal(max)	adaptive_oda(min)	adaptive_oda(mean)	adaptive_oda(max)	ghostexchange(min)	ghostexchange(mean)	ghostexchange(max)	topdown(min)	topdown(mean)	topdown(max)	bottomup(min)	bottomup(mean)	bottomup(max)	treeinterior(min)	treeinterior(mean)	treeinterior(max)	elemental(min)	elemental(mean)	elemental(max)	
weak	16	1024	1	0.000531077	0.000672489	0.000853562	0.000922203	0.00108323	0.00123088	0.00985236	0.00985305	0.00985377	0.204086	0.204109	0.204281	4.35591e-05	5.94489e-05	7.23839e-05	5.80246e-07	5.87779e-07	5.92036e-07	8.30591e-08	9.12643e-08	9.61749e-08	3.15616e-05	3.16313e-05	3.16951e-05	1.74699e-06	1.74985e-06	1.75203e-06	
TACC:  Shutdown complete. Exiting. 

TACC:  Starting up job 3268034 
TACC:  Starting parallel tasks... 
