matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,frequency_z,max_depth,mesh,mesh_family,scale_x,scale_y,scale_z,solver,unknowns
7,1.1338007146732893e-07,4.287139016817974e-06,7,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
8,2.1496800018492198e-08,8.399501329636074e-07,8,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
9,5.999150055246448e-09,2.2220205342163865e-07,9,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
10,1.3626386497677146e-09,4.885175784206356e-08,10,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
11,2.0179583446082607e-10,7.2515390125974905e-09,11,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
12,3.046034269293797e-11,1.0134939733117463e-09,12,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
13,4.821975669224788e-12,1.9752998635938314e-10,13,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
14,1.1280956344528216e-12,4.677057955237838e-11,14,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
15,2.4721832680216854e-13,8.448084204136116e-12,15,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
16,6.093536450049797e-14,2.0780919726719717e-12,16,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
17,1.8429201799296704e-14,5.316978193383333e-13,17,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
18,3.2862578841280104e-15,1.108999446432259e-13,18,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
19,5.620518870037503e-16,1.8067466106724743e-14,19,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
20,1.6479873021779667e-16,5.543302488822466e-15,20,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
21,3.755342160847668e-17,1.2606613084309364e-15,21,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
0,0.029897929106195886,1.0617954263104017,0,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.5,11712,0.5,0.5,0.25,5,adaptive(0.5),adapt,1.0,1.0,2.0,accelerated_gmg,10369
