matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,max_depth,mesh,mesh_family,scale_x,scale_y,solver,unknowns
2,0.1296722860271867,,2,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
3,0.0162333752562646,,3,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
4,0.004652124774758798,,4,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
5,0.0009611241178521117,,5,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
6,0.00015645819780787248,,6,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
7,2.753979640212496e-05,,7,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
8,6.970761549250874e-06,,8,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
9,1.1836657829026974e-06,,9,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
10,1.8608002375035688e-07,,10,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
11,3.8832037203573154e-08,,11,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
12,8.005151066133381e-09,,12,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
13,1.6889273731160284e-09,,13,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
14,4.873494813119598e-10,,14,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
15,9.455820498154948e-11,,15,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
16,2.043601088309002e-11,,16,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
17,6.095169970057134e-12,,17,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
18,1.2510164888316786e-12,,18,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
19,2.303713500066363e-13,,19,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
