matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,frequency_z,max_depth,mesh,mesh_family,scale_x,scale_y,scale_z,solver,unknowns
11,4.214062350292413e-12,1.0107154926265944e-10,11,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
12,7.547350650554248e-13,1.7858600010658568e-11,12,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
13,1.5544979254676623e-13,2.613379076937931e-12,13,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
14,2.5427347500390303e-14,3.3085377318832417e-13,14,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
15,1.1864448939760316e-15,2.723697929066212e-14,15,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
16,2.6246017214313155e-16,4.1285159773453066e-15,16,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
0,0.0031986793456922,0.201272987754135,0,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
1,0.0005631559987927147,0.02097577647595944,1,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
2,4.655069874831189e-05,0.002039465173860988,2,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
3,7.33130849263686e-06,0.00026068947421602147,3,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
4,1.3472632832487447e-06,3.5722766906557324e-05,4,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
5,1.2891869652992223e-07,3.6104956738719165e-06,5,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
6,1.0457806091114604e-08,3.9470876191780744e-07,6,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
