matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,frequency_z,max_depth,mesh,mesh_family,scale_x,scale_y,scale_z,solver,unknowns
6,2.8689938658728346e-10,1.2121754313656532e-08,6,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
7,3.331857286804434e-11,7.536892059469523e-10,7,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
8,2.742849560419178e-12,6.942583969656424e-11,8,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
9,9.606890818276156e-14,4.243199929408565e-12,9,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
10,1.003939664953875e-14,3.643326319727062e-13,10,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
11,6.52122494553468e-16,3.495454552241795e-14,11,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
12,4.797331702694774e-17,2.6497279964446155e-15,12,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_gmg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_gmg,274625
0,0.10321131856462208,1.5231318224556736,0,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
1,0.00821309032006251,0.10080880659542496,1,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
2,0.00018565327102528992,0.0023799591463088384,2,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
3,9.1107415664846e-06,0.00011543683005629869,3,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
4,3.003076500105006e-07,4.030511075219812e-06,4,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
5,3.142016364739282e-08,2.5645119637224223e-07,5,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
6,1.960998460147672e-09,2.983706802934847e-08,6,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
7,1.1276616660795416e-10,1.8323469234329295e-09,7,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
8,1.1604047734185279e-11,1.8600250968297788e-10,8,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
9,1.415198081905607e-12,1.5867613113288977e-11,9,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
10,8.391451882028466e-14,1.169868036148292e-12,10,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
11,8.926493868053443e-15,8.660683084888105e-14,11,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
12,2.494492669151329e-16,4.3388982194118615e-15,12,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,4913
0,0.09498803956859465,1.9001227816033013,0,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,35937
1,0.0020812549530406094,0.06777403345373138,1,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,35937
2,9.24309983705116e-05,0.0033724835139848568,2,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,35937
3,2.3542362750652053e-06,6.881831476902506e-05,3,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,35937
4,8.9567259415539e-08,2.8069355986482863e-06,4,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,35937
5,3.97972124494009e-09,1.3352781392691788e-07,5,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,35937
6,3.267058828685791e-10,1.037047975377787e-08,6,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,35937
7,2.7329117113841842e-11,9.013735173837628e-10,7,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,35937
8,2.793432109914433e-12,6.364446088453716e-11,8,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,35937
9,2.3631470809373164e-13,6.026496635207898e-12,9,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,35937
10,1.975375878804734e-14,4.440169154965035e-13,10,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,35937
11,1.5993668663280067e-15,4.072222891491335e-14,11,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,35937
12,9.041630505018444e-17,3.0158704402495764e-15,12,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=5,32768,0.75,0.75,0.75,5,uniform(5),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,35937
0,0.0603244884132974,2.269918558414837,0,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,274625
1,0.002391994357806064,0.07557847227582044,1,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,274625
2,9.030184623043315e-05,0.0038213921582581985,2,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,274625
3,2.905255850329265e-06,0.00017717864466334,3,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,274625
4,1.5942972632705674e-07,7.377698938555065e-06,4,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,274625
5,7.687236356301243e-09,2.722080075934685e-07,5,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,274625
6,2.868993865872818e-10,1.2121754313660696e-08,6,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,274625
7,3.331857286803328e-11,7.536892059468951e-10,7,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,274625
8,2.7428495604184298e-12,6.942583969655828e-11,8,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,274625
9,9.606890818282583e-14,4.243199929410219e-12,9,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,274625
10,1.0039396649550009e-14,3.643326319728886e-13,10,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,274625
11,6.521224945539382e-16,3.4954545522439765e-14,11,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,274625
12,4.797331702727906e-17,2.649727996448772e-15,12,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=accelerated_hybrid_mg mesh=uniform max_depth=6,262144,0.75,0.75,0.75,6,uniform(6),uniform,1.0,1.0,1.0,accelerated_hybrid_mg,274625
0,1.5231318224556736,0.10321131856462208,0,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=standalone_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,standalone_gmg,4913
1,0.12615816877091088,0.014496379355427622,1,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=standalone_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,standalone_gmg,4913
2,0.010544755076082697,0.0011260195257248168,2,scale=[1_1_1] freq=[0.75_0.75_0.75] solver=standalone_gmg mesh=uniform max_depth=4,4096,0.75,0.75,0.75,4,uniform(4),uniform,1.0,1.0,1.0,standalone_gmg,4913
